taxonomy,primary,displayName,level,isBasic,basicCategory
arts_and_entertainment > stadium_arena > stadium > hockey_arena,hockey_arena,Hockey Arena,3,false,stadium_arena
arts_and_entertainment > stadium_arena > stadium > rugby_stadium,rugby_stadium,Rugby Stadium,3,false,stadium_arena
arts_and_entertainment > stadium_arena > stadium > soccer_stadium,soccer_stadium,Soccer Stadium,3,false,stadium_arena
arts_and_entertainment > stadium_arena > stadium > tennis_stadium,tennis_stadium,Tennis Stadium,3,false,stadium_arena
arts_and_entertainment > stadium_arena > stadium > track_stadium,track_stadium,Track Stadium,3,false,stadium_arena
arts_and_entertainment > ticket_office_or_booth,ticket_office_or_booth,Ticket Office or Booth,1,true,ticket_office_or_booth
community_and_government,community_and_government,Community and Government,0,true,community_and_government
community_and_government > civic_organization,civic_organization,Civic Organization,1,true,civic_organization
community_and_government > civic_organization > charity_organization,charity_organization,Charity Organization,2,false,civic_organization
community_and_government > civic_organization > civic_center,civic_center,Civic Center,2,true,civic_center
community_and_government > civic_organization > labor_union,labor_union,Labor Union,2,true,labor_union
community_and_government > civic_organization > non_governmental_association,non_governmental_association,Non Governmental Association,2,false,civic_organization
community_and_government > civic_organization > political_organization,political_organization,Political Organization,2,true,political_organization
community_and_government > civic_organization > political_organization > political_party_office,political_party_office,Political Party Office,3,false,political_organization
community_and_government > government_office,government_office,Government Office,1,true,government_office
community_and_government > government_office > chambers_of_commerce,chambers_of_commerce,Chambers of Commerce,2,false,government_office
community_and_government > government_office > courthouse,courthouse,Courthouse,2,true,courthouse
community_and_government > government_office > embassy,embassy,Embassy,2,true,embassy
community_and_government > government_office > government_department,government_department,Government Department,2,true,government_department
community_and_government > government_office > government_department > department_of_motor_vehicles,department_of_motor_vehicles,Department of Motor Vehicles,3,false,government_department
community_and_government > government_office > government_department > department_of_social_service,department_of_social_service,Department of Social Service,3,false,government_department
community_and_government > government_office > government_department > health_department,health_department,Health Department,3,false,government_department
community_and_government > government_office > immigration_and_naturalization_office,immigration_and_naturalization_office,Immigration and Naturalization Office,2,false,government_office
community_and_government > government_office > national_security_service,national_security_service,National Security Service,2,false,government_office
community_and_government > government_office > office_of_vital_records,office_of_vital_records,Office of Vital Records,2,false,government_office
community_and_government > government_office > pension_office,pension_office,Pension Office,2,false,government_office
community_and_government > government_office > registry_office,registry_office,Registry Office,2,false,government_office
