basic_category,display_name,taxonomy,level
class_venue,Class Venue,education > place_of_learning > class_venue,2
college_university,College University,education > place_of_learning > college_university,2
elementary_school,Elementary School,education > place_of_learning > school > elementary_school,3
high_school,High School,education > place_of_learning > school > high_school,3
kindergarten,Kindergarten,education > place_of_learning > school > kindergarten,3
middle_school,Middle School,education > place_of_learning > school > middle_school,3
preschool,Preschool,education > place_of_learning > school > preschool,3
specialty_school,Specialty School,education > place_of_learning > specialty_school,2
research_institute,Research Institute,education > research_institute,1
food_and_drink,Food and Drink,food_and_drink,0
alcoholic_beverage_venue,Alcoholic Beverage Venue,food_and_drink > alcoholic_beverage_venue,1
bar,Bar,food_and_drink > alcoholic_beverage_venue > bar,2
brewery,Brewery,food_and_drink > alcoholic_beverage_venue > brewery,2
distillery,Distillery,food_and_drink > alcoholic_beverage_venue > distillery,2
lounge,Lounge,food_and_drink > alcoholic_beverage_venue > lounge,2
winery,Winery,food_and_drink > alcoholic_beverage_venue > winery,2
casual_eatery,Casual Eatery,food_and_drink > casual_eatery,1
cafe,Cafe,food_and_drink > casual_eatery > cafe,2
fast_food_restaurant,Fast Food Restaurant,food_and_drink > casual_eatery > fast_food_restaurant,2
food_court,Food Court,food_and_drink > casual_eatery > food_court,2
food_truck_stand,Food Truck or Stand,food_and_drink > casual_eatery > food_truck_stand,2
non_alcoholic_beverage_venue,Non-Alcoholic Beverage Venue,food_and_drink > non_alcoholic_beverage_venue,1
coffee_shop,Coffee Shop,food_and_drink > non_alcoholic_beverage_venue > coffee_shop,2
smoothie_juice_bar,Smoothie or Juice Bar,food_and_drink > non_alcoholic_beverage_venue > smoothie_juice_bar,2
restaurant,Restaurant,food_and_drink > restaurant,1
geographic_entities,Geographic Entities,geographic_entities,0
built_feature,Built Feature,geographic_entities > built_feature,1
bridge,Bridge,geographic_entities > built_feature > bridge,2
building,Building,geographic_entities > built_feature > building,2
dam,Dam,geographic_entities > built_feature > dam,2
dock,Dock,geographic_entities > built_feature > dock,2
garden,Garden,geographic_entities > built_feature > garden,2
marina,Marina,geographic_entities > built_feature > marina,2
pier,Pier,geographic_entities > built_feature > pier,2
land_feature,Land Feature,geographic_entities > land_feature,1
beach,Beach,geographic_entities > land_feature > beach,2
canyon,Canyon,geographic_entities > land_feature > canyon,2
forest,Forest,geographic_entities > land_feature > forest,2
hill,Hill,geographic_entities > land_feature > hill,2
island,Island,geographic_entities > land_feature > island,2
mountain,Mountain,geographic_entities > land_feature > mountain,2
nature_reserve,Nature Reserve,geographic_entities > land_feature > nature_reserve,2
valley,Valley,geographic_entities > land_feature > valley,2
scenic_viewpoint,Scenic Viewpoint,geographic_entities > scenic_viewpoint,1
water_feature,Water Feature,geographic_entities > water_feature,1
canal,Canal,geographic_entities > water_feature > canal,2
hot_springs,Hot Springs,geographic_entities > water_feature > hot_springs,2
lake,Lake,geographic_entities > water_feature > lake,2
ocean,Ocean,geographic_entities > water_feature > ocean,2
river,River,geographic_entities > water_feature > river,2
sea,Sea,geographic_entities > water_feature > sea,2
waterfall,Waterfall,geographic_entities > water_feature > waterfall,2
health_care,Health Care,health_care,0
emergency_or_urgent_care_facility,Emergency or Urgent Care Facility,health_care > emergency_or_urgent_care_facility,1
emergency_department,Emergency Department,health_care > emergency_or_urgent_care_facility > emergency_department,2
urgent_care_clinic,Urgent Care Clinic,health_care > emergency_or_urgent_care_facility > urgent_care_clinic,2
walk_in_clinic,Walk-In Clinic,health_care > emergency_or_urgent_care_facility > walk_in_clinic,2
hospital,Hospital,health_care > hospital,1
general_hospital,General Hospital,health_care > hospital > general_hospital,2
specialty_hospital,Specialty Hospital,health_care > hospital > specialty_hospital,2
medical_service,Medical Service,health_care > medical_service,1
outpatient_care_facility,Outpatient Care Facility,health_care > outpatient_care_facility,1
behavioral_or_mental_health_clinic,Behavioral or Mental Health Clinic,health_care > outpatient_care_facility > behavioral_or_mental_health_clinic,2
complementary_and_alternative_medicine,Complementary and Alternative Medicine,health_care > outpatient_care_facility > complementary_and_alternative_medicine,2
dental_clinic,Dental Clinic,health_care > outpatient_care_facility > dental_clinic,2
diagnostics_imaging_or_lab_service,Diagnostics Imaging or Lab Service,health_care > outpatient_care_facility > diagnostics_imaging_or_lab_service,2
pediatric_clinic,Pediatric Clinic,health_care > outpatient_care_facility > pediatric_clinic,2
physical_medicine_and_rehabilitation,Physical Medicine and Rehabilitation,health_care > outpatient_care_facility > physical_medicine_and_rehabilitation,2
primary_care_or_general_clinic,Primary Care or General Clinic,health_care > outpatient_care_facility > primary_care_or_general_clinic,2
reproductive_perinatal_and_womens_care,Reproductive Perinatal and Women's Care,health_care > outpatient_care_facility > reproductive_perinatal_and_womens_care,2
specialized_health_care,Specialized Health Care,health_care > outpatient_care_facility > specialized_health_care,2
vision_or_eye_care_clinic,Vision or Eye Care Clinic,health_care > outpatient_care_facility > vision_or_eye_care_clinic,2
specialized_medical_facility,Specialized Medical Facility,health_care > specialized_medical_facility,1
surgery,Surgery,health_care > specialized_medical_facility > surgery,2
lifestyle_services,Lifestyle Services,lifestyle_services,0
animal_or_pet_service,Animal or Pet Service,lifestyle_services > animal_or_pet_service,1
food_service,Food Service,lifestyle_services > food_service,1
personal_or_beauty_service,Personal or Beauty Service,lifestyle_services > personal_or_beauty_service,1
wellness_service,Wellness Service,lifestyle_services > wellness_service,1
lodging,Lodging,lodging,0
bed_and_breakfast,Bed and Breakfast,lodging > bed_and_breakfast,1
campground,Campground,lodging > campground,1
hotel,Hotel,lodging > hotel,1
inn,Inn,lodging > inn,1
private_lodging,Private Lodging,lodging > private_lodging,1
resort,Resort,lodging > resort,1
rv_park,RV Park,lodging > rv_park,1
services_and_business,Services and Business,services_and_business,0
agricultural_service,Agricultural Service,services_and_business > agricultural_service,1
farm,Farm,services_and_business > agricultural_service > farm,2
b2b_service,B2B Service,services_and_business > b2b_service,1
b2b_energy_and_utility_service,B2B Energy and Utility Service,services_and_business > b2b_service > b2b_energy_and_utility_service,2
b2b_industrial_and_machine_service,B2B Industrial and Machine Service,services_and_business > b2b_service > b2b_industrial_and_machine_service,2
b2b_office_and_professional_service,B2B Office and Professional Service,services_and_business > b2b_service > b2b_office_and_professional_service,2
b2b_science_and_technology_service,B2B Science and Technology Service,services_and_business > b2b_service > b2b_science_and_technology_service,2
b2b_transportation_and_storage_service,B2B Transportation and Storage Service,services_and_business > b2b_service > b2b_transportation_and_storage_service,2
manufacturer,Manufacturer,services_and_business > b2b_service > manufacturer,2
supplier_or_distributor,Supplier or Distributor,services_and_business > b2b_service > supplier_or_distributor,2
wholesaler,Wholesaler,services_and_business > b2b_service > wholesaler,2
building_or_construction_service,Building or Construction Service,services_and_business > building_or_construction_service,1
corporate_or_business_office,Corporate or Business Office,services_and_business > corporate_or_business_office,1
design_service,Design Service,services_and_business > design_service,1
environmental_or_ecological_service,Environmental or Ecological Service,services_and_business > environmental_or_ecological_service,1
event_or_party_service,Event or Party Service,services_and_business > event_or_party_service,1
family_service,Family Service,services_and_business > family_service,1
financial_service,Financial Service,services_and_business > financial_service,1
atm,ATM,services_and_business > financial_service > atm,2
bank_or_credit_union,Bank or Credit Union,services_and_business > financial_service > bank_or_credit_union,2
home_service,Home Service,services_and_business > home_service,1
housing_or_property_service,Housing or Property Service,services_and_business > housing_or_property_service,1
apartment,Apartment,services_and_business > housing_or_property_service > apartment,2
condominium,Condominium,services_and_business > housing_or_property_service > condominium,2
senior_living_facility,Senior Living Facility,services_and_business > housing_or_property_service > senior_living_facility,2
