legacy_primary_category,taxonomy_primary,taxonomy_hierarchy,taxonomy_display_name
circus,circus_venue,arts_and_entertainment > amusement_attraction > circus_venue,Circus Venue
circus_school,circus_school,education > place_of_learning > specialty_school > circus_school,Circus School
civic_center,civic_center,community_and_government > civic_organization > civic_center,Civic Center
civil_engineers,civil_engineer,services_and_business > building_or_construction_service > civil_engineer,Civil Engineer
civil_examinations_academy,civil_examinations_academy,education > place_of_learning > academy > civil_examinations_academy,Civil Examinations Academy
civil_rights_lawyers,civil_rights_lawyer,services_and_business > legal_service > attorney_or_law_firm > civil_rights_lawyer,Civil Rights Lawyer
civilization_museum,civilization_museum,arts_and_entertainment > museum > history_museum > civilization_museum,Civilization Museum
cleaning_products_supplier,cleaning_products_supplier,services_and_business > b2b_service > supplier_or_distributor > cleaning_products_supplier,Cleaning Products Supplier
cleaning_services,cleaning_service,services_and_business > professional_service > cleaning_service,Cleaning Service
cliff_jumping_center,cliff_jumping_center,sports_and_recreation > sport_or_fitness_facility > adventure_sport > cliff_jumping_center,Cliff Jumping Center
climbing_class,climbing_class,sports_and_recreation > sport_or_fitness_facility > climbing_class,Climbing Class
climbing_service,climbing_service,sports_and_recreation > sport_or_fitness_facility > adventure_sport > climbing_service,Climbing Service
clinical_laboratories,b2b_clinical_lab,services_and_business > b2b_service > b2b_medical_support_service > b2b_clinical_lab,B2B Clinical Lab
clock_repair_service,clock_repair_service,services_and_business > home_service > clock_repair_service,Clock Repair Service
closet_remodeling,closet_remodeling,services_and_business > home_service > closet_remodeling,Closet Remodeling
clothing_company,clothing_company,services_and_business > corporate_or_business_office > clothing_company,Clothing Company
clothing_rental,clothing_rental,services_and_business > rental_service > clothing_rental,Clothing Rental
clothing_store,clothing_store,shopping > fashion_and_apparel_store > clothing_store,Clothing Store
clown,clown,services_and_business > event_or_party_service > clown,Clown
club_crawl,club_crawl,arts_and_entertainment > nightlife_venue > club_crawl,Club Crawl
coach_bus,coach_bus,travel_and_transportation > ground_transport_facility_or_service > public_transit_facility_or_service > coach_bus,Coach Bus
coal_and_coke,b2b_coal_and_coke,services_and_business > b2b_service > b2b_energy_and_utility_service > b2b_mining > b2b_coal_and_coke,B2B Coal and Coke
cocktail_bar,cocktail_bar,food_and_drink > alcoholic_beverage_venue > bar > cocktail_bar,Cocktail Bar
coffee_and_tea_supplies,coffee_and_tea_supplies,shopping > food_and_beverage_store > coffee_and_tea_supplies,Coffee and Tea Supplies
coffee_roastery,coffee_roastery,food_and_drink > non_alcoholic_beverage_venue > coffee_shop > coffee_roastery,Coffee Roastery
coffee_shop,coffee_shop,food_and_drink > non_alcoholic_beverage_venue > coffee_shop,Coffee Shop
coin_dealers,coin_dealer,services_and_business > financial_service > coin_dealer,Coin Dealer
collection_agencies,collection_agency,services_and_business > financial_service > collection_agency,Collection Agency
college_counseling,college_counseling,education > educational_service > college_counseling,College Counseling
college_university,college_university,education > place_of_learning > college_university,College University
colombian_restaurant,colombian_restaurant,food_and_drink > restaurant > latin_american_restaurant > south_american_restaurant > colombian_restaurant,Colombian Restaurant
colonics,colonic_hydrotherapy,lifestyle_services > wellness_service > colonic_hydrotherapy,Colonic Hydrotherapy
comedy_club,comedy_club,arts_and_entertainment > performing_arts_venue > comedy_club,Comedy Club
comfort_food_restaurant,comfort_food_restaurant,food_and_drink > restaurant > comfort_food_restaurant,Comfort Food Restaurant
comic_books_store,comic_books_store,shopping > specialty_store > books_music_and_video_store > bookstore > comic_books_store,Comic Books Store
commercial_industrial,commercial_industrial,services_and_business > b2b_service > commercial_industrial,Commercial Industrial
commercial_printer,commercial_printer,services_and_business > printing_service > commercial_printer,Commercial Printer
commercial_real_estate,commercial_real_estate,services_and_business > real_estate_service > commercial_real_estate,Commercial Real Estate
commercial_refrigeration,commercial_refrigeration,services_and_business > technical_service > commercial_refrigeration,Commercial Refrigeration
commercial_vehicle_dealer,commercial_vehicle_dealer,shopping > vehicle_dealer > commercial_vehicle_dealer,Commercial Vehicle Dealer
commissioned_artist,commissioned_artist,services_and_business > media_service > commissioned_artist,Commissioned Artist
community_book_boxes,community_book_box,services_and_business > home_service > community_book_box,Community Book Box
community_center,community_center,community_and_government > social_or_community_service > community_center,Community Center
community_gardens,community_garden,geographic_entities > built_feature > garden > community_garden,Community Garden
community_health_center,community_health_center,health_care > outpatient_care_facility > primary_care_or_general_clinic > community_health_center,Community Health Center
community_museum,community_museum,arts_and_entertainment > museum > history_museum > community_museum,Community Museum
community_services_non_profits,social_or_community_service,community_and_government > social_or_community_service,Social or Community Service
computer_coaching,computer_coaching,education > place_of_learning > specialty_school > computer_coaching,Computer Coaching
computer_hardware_company,computer_hardware_company,services_and_business > technical_service > computer_hardware_company,Computer Hardware Company
computer_museum,computer_museum,arts_and_entertainment > museum > science_museum > computer_museum,Computer Museum
computer_store,computer_store,shopping > specialty_store > electronics_store > computer_store,Computer Store
computer_wholesaler,computer_wholesaler,services_and_business > b2b_service > wholesaler > computer_wholesaler,Computer Wholesaler
concept_shop,shopping,shopping,Shopping
concierge_medicine,concierge_medicine,health_care > outpatient_care_facility > primary_care_or_general_clinic > concierge_medicine,Concierge Medicine
condominium,condominium,services_and_business > housing_or_property_service > condominium,Condominium
construction_management,construction_management,services_and_business > building_or_construction_service > construction_management,Construction Management
construction_services,building_or_construction_service,services_and_business > building_or_construction_service,Building or Construction Service
consultant_and_general_service,b2b_service,services_and_business > b2b_service,B2B Service
contemporary_art_museum,contemporary_art_museum,arts_and_entertainment > museum > art_museum > contemporary_art_museum,Contemporary Art Museum
contract_law,contract_law,services_and_business > legal_service > attorney_or_law_firm > contract_law,Contract Law
contractor,contractor,services_and_business > home_service > contractor,Contractor
convenience_store,convenience_store,shopping > convenience_store,Convenience Store
convents_and_monasteries,religious_organization,cultural_and_historic > religious_organization,Religious Organization
cooking_classes,cooking_classes,shopping > specialty_store > arts_crafts_and_hobby_store > cooking_classes,Cooking Classes
cooking_school,cooking_school,education > place_of_learning > specialty_school > cooking_school,Cooking School
copywriting_service,copywriting_service,services_and_business > professional_service > copywriting_service,Copywriting Service
corporate_entertainment_services,corporate_entertainment_service,services_and_business > media_service > corporate_entertainment_service,Corporate Entertainment Service
corporate_gift_supplier,corporate_gift_supplier,services_and_business > b2b_service > supplier_or_distributor > corporate_gift_supplier,Corporate Gift Supplier
corporate_office,corporate_or_business_office,services_and_business > corporate_or_business_office,Corporate or Business Office
cosmetic_and_beauty_supplies,beauty_supply_store,shopping > specialty_store > personal_care_and_beauty_store > beauty_supply_store,Beauty Supply Store
cosmetic_dentist,cosmetic_dentistry,health_care > outpatient_care_facility > dental_clinic > cosmetic_dentistry,Cosmetic Dentistry
cosmetic_products_manufacturer,cosmetic_products_manufacturer,services_and_business > b2b_service > manufacturer > cosmetic_products_manufacturer,Cosmetic Products Manufacturer
cosmetic_surgeon,cosmetic_surgery,health_care > specialized_medical_facility > surgery > plastic_and_reconstructive_surgery > cosmetic_surgery,Cosmetic Surgery
cosmetology_school,cosmetology_school,education > place_of_learning > specialty_school > cosmetology_school,Cosmetology School
costa_rican_restaurant,costa_rican_restaurant,food_and_drink > restaurant > latin_american_restaurant > central_american_restaurant > costa_rican_restaurant,Costa Rican Restaurant
costume_museum,costume_museum,arts_and_entertainment > museum > art_museum > costume_museum,Costume Museum
costume_store,costume_store,shopping > specialty_store > arts_crafts_and_hobby_store > costume_store,Costume Store
cottage,cottage,lodging > cottage,Cottage
cotton_mill,cotton_mill,services_and_business > b2b_service > manufacturer > mill > cotton_mill,Cotton Mill
counseling_and_mental_health,behavioral_or_mental_health_clinic,health_care > outpatient_care_facility > behavioral_or_mental_health_clinic,Behavioral or Mental Health Clinic
countertop_installation,countertop_installation,services_and_business > home_service > countertop_installation,Countertop Installation
country_club,country_club,arts_and_entertainment > social_club > country_club,Country Club
country_dance_hall,country_dance_hall,arts_and_entertainment > rural_attraction > country_dance_hall,Country Dance Hall
country_house,country_house,lodging > country_house,Country House
courier_and_delivery_services,courier_and_delivery_service,services_and_business > shipping_or_delivery_service > courier_and_delivery_service,Courier and Delivery Service
court_reporter,court_reporter,services_and_business > legal_service > court_reporter,Court Reporter
courthouse,courthouse,community_and_government > government_office > courthouse,Courthouse
coworking_space,coworking_space,services_and_business > professional_service > coworking_space,Coworking Space
cpr_classes,cpr_class,education > place_of_learning > specialty_school > cpr_class,CPR Class
craft_shop,craft_store,shopping > specialty_store > arts_crafts_and_hobby_store > craft_store,Craft Store
crane_services,crane_service,services_and_business > building_or_construction_service > crane_service,Crane Service
crater,crater,geographic_entities > land_feature > crater,Crater
credit_and_debt_counseling,credit_and_debt_counseling,services_and_business > financial_service > credit_and_debt_counseling,Credit and Debt Counseling
credit_union,credit_union,services_and_business > financial_service > bank_or_credit_union > credit_union,Credit Union
cremation_services,cremation_service,services_and_business > family_service > funeral_service > cremation_service,Cremation Service
cricket_ground,cricket_ground,arts_and_entertainment > stadium_arena > stadium > cricket_ground,Cricket Ground
criminal_defense_law,criminal_defense_law,services_and_business > legal_service > attorney_or_law_firm > criminal_defense_law,Criminal Defense Law
crisis_intervention_services,crisis_intervention_service,health_care > outpatient_care_facility > behavioral_or_mental_health_clinic > behavioral_or_crisis_service > crisis_intervention_service,Crisis Intervention Service
crops_production,crops_production,services_and_business > b2b_service > b2b_agriculture_service > crops_production,Crops Production
cryotherapy,cryotherapy,lifestyle_services > wellness_service > cryotherapy,Cryotherapy
csa_farm,csa_farm,shopping > food_and_beverage_store > csa_farm,Csa Farm
cuban_restaurant,cuban_restaurant,food_and_drink > restaurant > latin_american_restaurant > caribbean_restaurant > cuban_restaurant,Cuban Restaurant
cultural_center,cultural_center,cultural_and_historic > cultural_center,Cultural Center
cupcake_shop,cupcake_shop,food_and_drink > casual_eatery > dessert_shop > cupcake_shop,Cupcake Shop
currency_exchange,currency_exchange,services_and_business > financial_service > currency_exchange,Currency Exchange
curry_sausage_restaurant,curry_sausage_restaurant,food_and_drink > restaurant > meat_restaurant > curry_sausage_restaurant,Curry Sausage Restaurant
custom_cakes_shop,custom_cakes_shop,shopping > food_and_beverage_store > patisserie_cake_shop > custom_cakes_shop,Custom Cakes Shop
custom_clothing,custom_clothing_store,shopping > fashion_and_apparel_store > clothing_store > custom_clothing_store,Custom Clothing Store
custom_t_shirt_store,custom_t_shirt_store,shopping > fashion_and_apparel_store > clothing_store > t_shirt_store > custom_t_shirt_store,Custom T-shirt Store
customized_merchandise,customized_merchandise_store,shopping > specialty_store > customized_merchandise_store,Customized Merchandise Store
customs_broker,customs_broker,services_and_business > financial_service > customs_broker,Customs Broker
cycling_classes,cycling_class,sports_and_recreation > sport_or_fitness_facility > cycling_class,Cycling Class
czech_restaurant,czech_restaurant,food_and_drink > restaurant > european_restaurant > central_european_restaurant > czech_restaurant,Czech Restaurant
dairy_farm,dairy_farm,services_and_business > agricultural_service > farm > dairy_farm,Dairy Farm
dairy_stores,dairy_store,shopping > food_and_beverage_store > specialty_foods_store > dairy_store,Dairy Store
dam,dam,geographic_entities > built_feature > dam,Dam
damage_restoration,damage_restoration,services_and_business > home_service > damage_restoration,Damage Restoration
dance_club,dance_club,arts_and_entertainment > nightlife_venue > dance_club,Dance Club
dance_school,dance_studio,sports_and_recreation > sport_or_fitness_facility > dance_studio,Dance Studio
dance_wear,dancewear_store,shopping > specialty_store > sporting_goods_store > sportswear_store > dancewear_store,Dancewear Store
danish_restaurant,danish_restaurant,food_and_drink > restaurant > european_restaurant > scandinavian_restaurant > danish_restaurant,Danish Restaurant
data_recovery,it_service_and_computer_repair,services_and_business > technical_service > it_service_and_computer_repair,IT Service and Computer Repair
day_care_preschool,day_care_preschool,services_and_business > family_service > child_care_and_day_care > day_care_preschool,Day Care Preschool
day_spa,day_spa,lifestyle_services > wellness_service > spa > day_spa,Day Spa
debt_relief_services,debt_relief_service,services_and_business > financial_service > debt_relief_service,Debt Relief Service
deck_and_railing_sales_service,deck_and_railing_sales_service,services_and_business > home_service > deck_and_railing_sales_service,Deck and Railing Sales Service
decorative_arts_museum,decorative_arts_museum,arts_and_entertainment > museum > art_museum > decorative_arts_museum,Decorative Arts Museum
delegated_driver_service,delegated_driver_service,travel_and_transportation > vehicle_service > delegated_driver_service,Delegated Driver Service
delicatessen,delicatessen,food_and_drink > casual_eatery > delicatessen,Delicatessen
demolition_service,demolition_service,services_and_business > home_service > demolition_service,Demolition Service
denim_wear_store,denim_wear_store,shopping > fashion_and_apparel_store > clothing_store > denim_wear_store,Denim Wear Store
dental_hygienist,dental_hygiene,health_care > outpatient_care_facility > dental_clinic > dental_hygiene,Dental Hygiene
dental_laboratories,b2b_dental_lab,services_and_business > b2b_service > b2b_medical_support_service > b2b_dental_lab,B2B Dental Lab
dental_supply_store,dental_supply_store,shopping > specialty_store > medical_supply_store > dental_supply_store,Dental Supply Store
dentist,dental_clinic,health_care > outpatient_care_facility > dental_clinic,Dental Clinic
dentistry_schools,dentistry_school,education > place_of_learning > college_university > medical_sciences_school > dentistry_school,Dentistry School
department_of_motor_vehicles,department_of_motor_vehicles,community_and_government > government_office > government_department > department_of_motor_vehicles,Department of Motor Vehicles
department_of_social_service,department_of_social_service,community_and_government > government_office > government_department > department_of_social_service,Department of Social Service
department_store,department_store,shopping > department_store,Department Store
dermatologist,dermatology,health_care > outpatient_care_facility > specialized_health_care > medical_skin_care > dermatology,Dermatology
desert,desert,geographic_entities > land_feature > desert,Desert
design_museum,design_museum,arts_and_entertainment > museum > art_museum > design_museum,Design Museum
designer_clothing,designer_clothing,shopping > fashion_and_apparel_store > clothing_store > designer_clothing,Designer Clothing
desserts,dessert_shop,food_and_drink > casual_eatery > dessert_shop,Dessert Shop
diagnostic_imaging,diagnostic_imaging,health_care > outpatient_care_facility > diagnostics_imaging_or_lab_service > diagnostic_imaging,Diagnostic Imaging
diagnostic_services,doctors_office,health_care > outpatient_care_facility > diagnostics_imaging_or_lab_service > doctors_office,Doctors Office
dialysis_clinic,dialysis_clinic,health_care > specialized_medical_facility > dialysis_clinic,Dialysis Clinic
diamond_dealer,diamond_dealer,shopping > fashion_and_apparel_store > jewelry_store > diamond_dealer,Diamond Dealer
dietitian,nutrition_service,lifestyle_services > wellness_service > nutrition_service,Nutrition Service
digitizing_services,digitizing_service,services_and_business > media_service > digitizing_service,Digitizing Service
dim_sum_restaurant,dim_sum_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > dim_sum_restaurant,Dim Sum Restaurant
diner,diner,food_and_drink > casual_eatery > diner,Diner
dinner_theater,dinner_theater,arts_and_entertainment > performing_arts_venue > theatre_venue > dinner_theater,Dinner Theater
direct_mail_advertising,b2b_direct_mail_advertising,services_and_business > b2b_service > b2b_office_and_professional_service > b2b_advertising_and_marketing_service > b2b_direct_mail_advertising,B2B Direct Mail Advertising
disability_law,disability_law,services_and_business > legal_service > attorney_or_law_firm > disability_law,Disability Law
disability_services_and_support_organization,disability_services_and_support_organization,community_and_government > social_or_community_service > disability_services_and_support_organization,Disability Services and Support Organization
disc_golf_course,disc_golf_course,sports_and_recreation > sport_or_fitness_facility > sport_field > disc_golf_course,Disc Golf Course
discount_store,discount_store,shopping > discount_store,Discount Store
display_home_center,display_home_center,services_and_business > real_estate_service > display_home_center,Display Home Center
distillery,distillery,food_and_drink > alcoholic_beverage_venue > distillery,Distillery
distribution_services,distribution_service,services_and_business > b2b_service > b2b_transportation_and_storage_service > freight_and_cargo_service > distribution_service,Distribution Service
dive_bar,dive_bar,food_and_drink > alcoholic_beverage_venue > bar > dive_bar,Dive Bar
dive_shop,dive_store,shopping > specialty_store > sporting_goods_store > dive_store,Dive Store
diving_center,diving_center,sports_and_recreation > sport_or_fitness_facility > diving_center,Diving Center
divorce_and_family_law,divorce_and_family_law,services_and_business > legal_service > attorney_or_law_firm > divorce_and_family_law,Divorce and Family Law
diy_auto_shop,diy_auto_shop,travel_and_transportation > vehicle_service > automotive_service > automotive_repair > diy_auto_shop,DIY Auto Shop
diy_foods_restaurant,diy_foods_restaurant,food_and_drink > restaurant > diy_foods_restaurant,DIY Foods Restaurant
dj_service,dj_service,services_and_business > event_or_party_service > dj_service,DJ Service
do_it_yourself_store,do_it_yourself_store,shopping > specialty_store > hardware_home_and_garden_store > do_it_yourself_store,Do IT Yourself Store
doctor,doctors_office,health_care > outpatient_care_facility > diagnostics_imaging_or_lab_service > doctors_office,Doctors Office
dog_meat_restaurant,meat_restaurant,food_and_drink > restaurant > meat_restaurant,Meat Restaurant
dog_park,dog_park,sports_and_recreation > park > dog_park,Dog Park
dog_trainer,dog_trainer,lifestyle_services > animal_or_pet_service > pet_care_service > pet_training > dog_trainer,Dog Trainer
dog_walkers,dog_walker,lifestyle_services > animal_or_pet_service > pet_care_service > dog_walker,Dog Walker
domestic_airports,airport,travel_and_transportation > air_transport_facility_or_service > airport,Airport
domestic_business_and_trade_organizations,b2b_domestic_trade_service,services_and_business > b2b_service > b2b_office_and_professional_service > b2b_domestic_trade_service,B2B Domestic Trade Service
dominican_restaurant,dominican_restaurant,food_and_drink > restaurant > latin_american_restaurant > caribbean_restaurant > dominican_restaurant,Dominican Restaurant
donation_center,donation_center,services_and_business > home_service > donation_center,Donation Center
doner_kebab,doner_kebab_restaurant,food_and_drink > restaurant > middle_eastern_restaurant > turkish_restaurant > doner_kebab_restaurant,Doner Kebab Restaurant
donuts,donut_shop,food_and_drink > casual_eatery > dessert_shop > donut_shop,Donut Shop
door_sales_service,door_sales_service,services_and_business > home_service > door_sales_service,Door Sales Service
doula,doula_service,health_care > outpatient_care_facility > reproductive_perinatal_and_womens_care > doula_service,Doula Service
drama_school,drama_school,education > place_of_learning > specialty_school > drama_school,Drama School
drinking_water_dispenser,drinking_fountain,community_and_government > public_facility > public_fountain > drinking_fountain,Drinking Fountain
drive_in_theater,drive_in_theater,arts_and_entertainment > movie_theater > drive_in_theater,Drive-In Theater
drive_thru_bar,drive_thru_bar,food_and_drink > alcoholic_beverage_venue > bar > drive_thru_bar,Drive Thru Bar
driving_range,driving_range,sports_and_recreation > sport_or_fitness_facility > golf_course > driving_range,Driving Range
driving_school,driving_school,education > place_of_learning > specialty_school > driving_school,Driving School
drone_store,drone_store,shopping > specialty_store > electronics_store > drone_store,Drone Store
drugstore,drugstore,shopping > specialty_store > pharmacy_and_drug_store > drugstore,Drugstore
dry_cleaning,dry_cleaning,services_and_business > laundry_service > dry_cleaning,Dry Cleaning
drywall_services,drywall_service,services_and_business > home_service > drywall_service,Drywall Service
dui_law,dui_law,services_and_business > legal_service > attorney_or_law_firm > dui_law,DUI Law
dui_school,dui_school,education > place_of_learning > specialty_school > dui_school,DUI School
dumpling_restaurant,dumpling_restaurant,food_and_drink > restaurant > dumpling_restaurant,Dumpling Restaurant
dumpster_rentals,dumpster_rental,services_and_business > rental_service > dumpster_rental,Dumpster Rental
duplication_services,duplication_service,services_and_business > printing_service > duplication_service,Duplication Service
duty_free_shop,duty_free_store,shopping > specialty_store > duty_free_store,Duty Free Store
e_cigarette_store,smoke_and_vape_store,shopping > specialty_store > smoke_and_vape_store,Smoke and Vape Store
e_commerce_service,e_commerce_service,services_and_business > professional_service > e_commerce_service,E-commerce Service
ear_nose_and_throat,ear_nose_and_throat,health_care > outpatient_care_facility > specialized_health_care > ear_nose_and_throat,Ear Nose and Throat
eastern_european_restaurant,eastern_european_restaurant,food_and_drink > restaurant > european_restaurant > eastern_european_restaurant,Eastern European Restaurant
eat_and_drink,food_and_drink,food_and_drink,Food and Drink
eatertainment,dinner_theater,arts_and_entertainment > performing_arts_venue > theatre_venue > dinner_theater,Dinner Theater
eating_disorder_treatment_centers,eating_disorder_treatment_center,health_care > specialized_medical_facility > eating_disorder_treatment_center,Eating Disorder Treatment Center
ecuadorian_restaurant,ecuadorian_restaurant,food_and_drink > restaurant > latin_american_restaurant > south_american_restaurant > ecuadorian_restaurant,Ecuadorian Restaurant
editorial_services,editorial_service,services_and_business > professional_service > editorial_service,Editorial Service
education,education,education,Education
educational_camp,educational_camp,education > educational_facility > educational_camp,Educational Camp
educational_research_institute,educational_research_institute,education > research_institute > educational_research_institute,Educational Research Institute
educational_services,educational_service,education > educational_service,Educational Service
educational_supply_store,educational_supply_store,shopping > specialty_store > educational_supply_store,Educational Supply Store
egyptian_restaurant,egyptian_restaurant,food_and_drink > restaurant > african_restaurant > north_african_restaurant > egyptian_restaurant,Egyptian Restaurant
elder_care_planning,elder_care_planning,services_and_business > family_service > elder_care_planning,Elder Care Planning
electric_utility_provider,electric_utility_provider,community_and_government > public_utility > electric_utility_provider,Electric Utility Provider
electrical_consultant,electrician,services_and_business > home_service > electrician,Electrician
electrical_supply_store,electrical_supply_store,shopping > specialty_store > hardware_home_and_garden_store > electrical_supply_store,Electrical Supply Store
electrical_wholesaler,electrical_wholesaler,services_and_business > b2b_service > wholesaler > electrical_wholesaler,Electrical Wholesaler
electrician,electrician,services_and_business > home_service > electrician,Electrician
electricity_supplier,electric_utility_provider,community_and_government > public_utility > electric_utility_provider,Electric Utility Provider
electronic_parts_supplier,electronic_parts_supplier,services_and_business > b2b_service > supplier_or_distributor > electronic_parts_supplier,Electronic Parts Supplier
electronics,electronics_store,shopping > specialty_store > electronics_store,Electronics Store
electronics_repair_shop,electronics_repair_shop,services_and_business > technical_service > electronics_repair_shop,Electronics Repair Shop
elementary_school,elementary_school,education > place_of_learning > school > elementary_school,Elementary School
elevator_service,elevator_service,services_and_business > technical_service > elevator_service,Elevator Service
embassy,embassy,community_and_government > government_office > embassy,Embassy
embroidery_and_crochet,embroidery_and_crochet_store,shopping > specialty_store > arts_crafts_and_hobby_store > craft_store > embroidery_and_crochet_store,Embroidery and Crochet Store
emergency_medicine,emergency_or_urgent_care_facility,health_care > emergency_or_urgent_care_facility,Emergency or Urgent Care Facility
emergency_pet_hospital,emergency_pet_hospital,lifestyle_services > animal_or_pet_service > veterinary_care > emergency_pet_hospital,Emergency Pet Hospital
emergency_roadside_service,emergency_roadside_service,travel_and_transportation > vehicle_service > automotive_service > emergency_roadside_service,Emergency Roadside Service
emergency_room,emergency_department,health_care > emergency_or_urgent_care_facility > emergency_department,Emergency Department
emergency_service,ambulance_or_ems_service,health_care > emergency_or_urgent_care_facility > ambulance_or_ems_service,Ambulance or EMS Service
emissions_inspection,emissions_inspection,travel_and_transportation > vehicle_service > automotive_service > emissions_inspection,Emissions Inspection
empanadas,empanada_restaurant,food_and_drink > restaurant > latin_american_restaurant > empanada_restaurant,Empanada Restaurant
employment_agencies,employment_agency,services_and_business > professional_service > employment_agency,Employment Agency
employment_law,employment_law,services_and_business > legal_service > attorney_or_law_firm > employment_law,Employment Law
ems_training,ems_training,health_care > medical_service > ems_training,EMS Training
endocrinologist,endocrinology,health_care > outpatient_care_facility > specialized_health_care > endocrinology,Endocrinology
endodontist,endodontics,health_care > outpatient_care_facility > dental_clinic > endodontics,Endodontics
endoscopist,endoscopy,health_care > outpatient_care_facility > specialized_health_care > gastroenterology > endoscopy,Endoscopy
energy_company,energy_company,services_and_business > corporate_or_business_office > energy_company,Energy Company
energy_equipment_and_solution,b2b_energy_and_utility_service,services_and_business > b2b_service > b2b_energy_and_utility_service,B2B Energy and Utility Service
energy_management_and_conservation_consultants,energy_management_service,services_and_business > b2b_service > b2b_energy_and_utility_service > energy_management_service,Energy Management Service
engine_repair_service,engine_repair_service,travel_and_transportation > vehicle_service > automotive_service > automotive_repair > engine_repair_service,Engine Repair Service
engineering_schools,engineering_school,education > place_of_learning > college_university > engineering_school,Engineering School
engineering_services,engineering_service,services_and_business > building_or_construction_service > engineering_service,Engineering Service
engraving,engraving,services_and_business > media_service > engraving,Engraving
entertainment_law,entertainment_law,services_and_business > legal_service > attorney_or_law_firm > entertainment_law,Entertainment Law
environmental_abatement_services,environmental_abatement_service,services_and_business > environmental_or_ecological_service > environmental_abatement_service,Environmental Abatement Service
environmental_and_ecological_services_for_businesses,environmental_or_ecological_service,services_and_business > environmental_or_ecological_service,Environmental or Ecological Service
environmental_conservation_and_ecological_organizations,environmental_conservation_organization,services_and_business > environmental_or_ecological_service > environmental_conservation_organization,Environmental Conservation Organization
environmental_conservation_organization,environmental_conservation_organization,services_and_business > environmental_or_ecological_service > environmental_conservation_organization,Environmental Conservation Organization
environmental_medicine,environmental_medicine,health_care > outpatient_care_facility > specialized_health_care > preventive_medicine > environmental_medicine,Environmental Medicine
environmental_renewable_natural_resource,environmental_or_ecological_service,services_and_business > environmental_or_ecological_service,Environmental or Ecological Service
environmental_testing,environmental_testing_service,services_and_business > environmental_or_ecological_service > environmental_testing_service,Environmental Testing Service
episcopal_church,anglican_or_episcopal_place_of_worship,cultural_and_historic > place_of_worship > christian_place_of_worship > protestant_place_of_worship > anglican_or_episcopal_place_of_worship,Anglican or Episcopal Place of Worship
equestrian_facility,equestrian_facility,sports_and_recreation > sport_or_fitness_facility > horse_riding > equestrian_facility,Equestrian Facility
erotic_massage,erotic_massage_venue,arts_and_entertainment > nightlife_venue > adult_entertainment_venue > erotic_massage_venue,Erotic Massage Venue
escape_rooms,escape_room,arts_and_entertainment > gaming_venue > escape_room,Escape Room
escrow_services,escrow_service,services_and_business > real_estate_service > escrow_service,Escrow Service
esports_league,esports_league,sports_and_recreation > sport_league > esports_league,Esports League
esports_team,esports_team,sports_and_recreation > sport_team > esports_team,Esports Team
estate_liquidation,estate_liquidation,services_and_business > real_estate_service > estate_liquidation,Estate Liquidation
estate_planning_law,estate_planning_law,services_and_business > legal_service > attorney_or_law_firm > estate_planning_law,Estate Planning Law
esthetician,esthetician,lifestyle_services > personal_or_beauty_service > skin_care_and_makeup > esthetician,Esthetician
ethical_grocery,ethical_grocery_store,shopping > food_and_beverage_store > grocery_store > ethical_grocery_store,Ethical Grocery Store
ethiopian_restaurant,ethiopian_restaurant,food_and_drink > restaurant > african_restaurant > east_african_restaurant > ethiopian_restaurant,Ethiopian Restaurant
european_restaurant,european_restaurant,food_and_drink > restaurant > european_restaurant,European Restaurant
ev_charging_station,ev_charging_station,travel_and_transportation > fueling_station > ev_charging_station,EV Charging Station
evangelical_church,protestant_place_of_worship,cultural_and_historic > place_of_worship > christian_place_of_worship > protestant_place_of_worship,Protestant Place of Worship
event_photography,event_photography_service,services_and_business > media_service > photography_service > event_photography_service,Event Photography Service
event_planning,event_or_party_service,services_and_business > event_or_party_service,Event or Party Service
event_technology_service,event_technology_service,services_and_business > event_or_party_service > event_technology_service,Event Technology Service
excavation_service,excavation_service,services_and_business > home_service > excavation_service,Excavation Service
executive_search_consultants,b2b_executive_search_consultants,services_and_business > b2b_service > b2b_office_and_professional_service > b2b_business_management_service > b2b_executive_search_consultants,B2B Executive Search Consultants
exhaust_and_muffler_repair,exhaust_and_muffler_repair,travel_and_transportation > vehicle_service > automotive_service > automotive_repair > exhaust_and_muffler_repair,Exhaust and Muffler Repair
exhibition_and_trade_center,exhibition_and_trade_fair_venue,arts_and_entertainment > event_venue > exhibition_and_trade_fair_venue,Exhibition and Trade Fair Venue
exporters,exporter,services_and_business > b2b_service > supplier_or_distributor > import_export_service > exporter,Exporter
exterior_design,exterior_design,services_and_business > home_service > exterior_design,Exterior Design
eye_care_clinic,vision_or_eye_care_clinic,health_care > outpatient_care_facility > vision_or_eye_care_clinic,Vision or Eye Care Clinic
eyebrow_service,eyebrow_service,lifestyle_services > personal_or_beauty_service > eyebrow_service,Eyebrow Service
eyelash_service,eyelash_service,lifestyle_services > personal_or_beauty_service > eyelash_service,Eyelash Service
eyewear_and_optician,eyewear_store,shopping > fashion_and_apparel_store > eyewear_store,Eyewear Store
fabric_store,fabric_store,shopping > specialty_store > arts_crafts_and_hobby_store > fabric_store,Fabric Store
fabric_wholesaler,fabric_wholesaler,services_and_business > b2b_service > wholesaler > fabric_wholesaler,Fabric Wholesaler
