legacy_primary_category,taxonomy_primary,taxonomy_hierarchy,taxonomy_display_name
tile_store,tile_store,shopping > specialty_store > hardware_home_and_garden_store > tile_store,Tile Store
tiling,tiling,services_and_business > home_service > tiling,Tiling
tire_dealer_and_repair,tire_dealer_and_repair,travel_and_transportation > vehicle_service > automotive_service > automotive_repair > tire_dealer_and_repair,Tire Dealer and Repair
tire_repair_shop,tire_shop,travel_and_transportation > vehicle_service > automotive_service > tire_shop,Tire Shop
tire_shop,tire_shop,travel_and_transportation > vehicle_service > automotive_service > tire_shop,Tire Shop
tobacco_company,tobacco_company,services_and_business > corporate_or_business_office > tobacco_company,Tobacco Company
tobacco_shop,tobacco_shop,shopping > food_and_beverage_store > tobacco_shop,Tobacco Shop
toll_stations,toll_station,travel_and_transportation > ground_transport_facility_or_service > road_structures_and_service > toll_station,Toll Station
tools_wholesaler,tools_wholesaler,services_and_business > b2b_service > wholesaler > tools_wholesaler,Tools Wholesaler
topic_concert_venue,music_venue,arts_and_entertainment > performing_arts_venue > music_venue,Music Venue
topic_publisher,publisher,services_and_business > media_service > media_news_company > publisher,Publisher
tours,tour_operator,travel_and_transportation > travel_service > tour_operator,Tour Operator
tower,historic_tower,cultural_and_historic > historic_site > historic_tower,Historic Tower
tower_communication_service,tower_communication_service,services_and_business > b2b_service > b2b_telecommunications_service > tower_communication_service,Tower Communication Service
towing_service,towing_service,travel_and_transportation > vehicle_service > automotive_service > towing_service,Towing Service
town_car_service,town_car_service,travel_and_transportation > ground_transport_facility_or_service > taxi_or_ride_share_service > town_car_service,Town Car Service
town_hall,town_hall,community_and_government > government_office > town_hall,Town Hall
toxicologist,toxicology,health_care > outpatient_care_facility > specialized_health_care > preventive_medicine > toxicology,Toxicology
toy_store,toy_store,shopping > specialty_store > toys_and_games_store > toy_store,Toy Store
track_stadium,track_stadium,arts_and_entertainment > stadium_arena > stadium > track_stadium,Track Stadium
trade_fair,exhibition_and_trade_fair_venue,arts_and_entertainment > event_venue > exhibition_and_trade_fair_venue,Exhibition and Trade Fair Venue
traditional_chinese_medicine,traditional_chinese_medicine,health_care > outpatient_care_facility > complementary_and_alternative_medicine > traditional_chinese_medicine,Traditional Chinese Medicine
traditional_clothing,traditional_clothing,shopping > fashion_and_apparel_store > clothing_store > traditional_clothing,Traditional Clothing
traffic_school,traffic_school,education > place_of_learning > specialty_school > traffic_school,Traffic School
traffic_ticketing_law,traffic_ticketing_law,services_and_business > legal_service > attorney_or_law_firm > traffic_ticketing_law,Traffic Ticketing Law
trail,recreational_trail_or_path,sports_and_recreation > recreational_trail_or_path,Recreational Trail or Path
trailer_dealer,trailer_dealer,shopping > vehicle_dealer > trailer_dealer,Trailer Dealer
trailer_rentals,trailer_rental_service,services_and_business > rental_service > vehicle_rental_service > trailer_rental_service,Trailer Rental Service
trailer_repair,trailer_repair,travel_and_transportation > vehicle_service > automotive_service > automotive_repair > trailer_repair,Trailer Repair
train_station,train_station,travel_and_transportation > ground_transport_facility_or_service > rail_facility_or_service > train_station,Train Station
trains,train,travel_and_transportation > ground_transport_facility_or_service > rail_facility_or_service > train,Train
trampoline_park,trampoline_park,sports_and_recreation > sport_or_fitness_facility > trampoline_park,Trampoline Park
transcription_services,transcription_service,services_and_business > b2b_service > b2b_office_and_professional_service > transcription_service,Transcription Service
translating_and_interpreting_services,translating_and_interpreting_service,services_and_business > b2b_service > b2b_office_and_professional_service > translating_and_interpreting_service,Translating and Interpreting Service
translation_services,translation_service,services_and_business > professional_service > translation_service,Translation Service
transmission_repair,transmission_repair,travel_and_transportation > vehicle_service > automotive_service > automotive_repair > transmission_repair,Transmission Repair
transport_interchange,transport_interchange,travel_and_transportation > transport_interchange,Transport Interchange
transportation,travel_and_transportation,travel_and_transportation,Travel and Transportation
travel,travel_service,travel_and_transportation > travel_service,Travel Service
travel_agents,travel_agent,travel_and_transportation > travel_service > travel_agent,Travel Agent
travel_company,travel_company,services_and_business > corporate_or_business_office > travel_company,Travel Company
travel_services,travel_service,travel_and_transportation > travel_service,Travel Service
tree_services,tree_service,services_and_business > home_service > landscaping > tree_service,Tree Service
trinidadian_restaurant,trinidadian_restaurant,food_and_drink > restaurant > latin_american_restaurant > caribbean_restaurant > trinidadian_restaurant,Trinidadian Restaurant
trivia_host,trivia_host,services_and_business > event_or_party_service > trivia_host,Trivia Host
trophy_shop,trophy_store,shopping > specialty_store > trophy_store,Trophy Store
tropical_medicine,tropical_medicine,health_care > outpatient_care_facility > specialized_health_care > internal_medicine > infectious_disease > tropical_medicine,Tropical Medicine
truck_dealer,truck_dealer,shopping > vehicle_dealer > truck_dealer,Truck Dealer
truck_dealer_for_businesses,truck_dealer,shopping > vehicle_dealer > truck_dealer,Truck Dealer
truck_gas_station,truck_gas_station,travel_and_transportation > fueling_station > gas_station > truck_gas_station,Truck Gas Station
truck_rentals,truck_rental_service,services_and_business > rental_service > vehicle_rental_service > truck_rental_service,Truck Rental Service
truck_repair,truck_repair,travel_and_transportation > vehicle_service > automotive_service > truck_repair,Truck Repair
truck_repair_and_services_for_businesses,truck_repair,travel_and_transportation > vehicle_service > automotive_service > truck_repair,Truck Repair
truck_stop,truck_stop,travel_and_transportation > ground_transport_facility_or_service > road_structures_and_service > truck_stop,Truck Stop
trucks_and_industrial_vehicles,truck_and_industrial_vehicle_services,services_and_business > b2b_service > b2b_transportation_and_storage_service > truck_and_industrial_vehicle_services,Truck and Industrial Vehicle Services
trusts,trusts,services_and_business > financial_service > trusts,Trusts
tubing_provider,tubing_provider,sports_and_recreation > sport_or_fitness_facility > tubing_provider,Tubing Provider
tui_na,tui_na,health_care > outpatient_care_facility > complementary_and_alternative_medicine > traditional_chinese_medicine > tui_na,Tui Na
turkish_baths,turkish_bath,lifestyle_services > wellness_service > public_bath_house > turkish_bath,Turkish Bath
turkish_restaurant,turkish_restaurant,food_and_drink > restaurant > middle_eastern_restaurant > turkish_restaurant,Turkish Restaurant
turnery,turnery,services_and_business > b2b_service > b2b_industrial_and_machine_service > turnery,Turnery
tutoring_center,tutoring_service,education > educational_service > tutoring_service,Tutoring Service
tv_mounting,tv_mounting,services_and_business > home_service > tv_mounting,TV Mounting
typing_services,typing_service,services_and_business > professional_service > typing_service,Typing Service
ukrainian_restaurant,ukrainian_restaurant,food_and_drink > restaurant > european_restaurant > eastern_european_restaurant > ukrainian_restaurant,Ukrainian Restaurant
ultralight_airports,ultralight_airport,travel_and_transportation > air_transport_facility_or_service > airport > ultralight_airport,Ultralight Airport
ultrasound_imaging_center,ultrasound_imaging,health_care > outpatient_care_facility > diagnostics_imaging_or_lab_service > diagnostic_imaging > ultrasound_imaging,Ultrasound Imaging
undersea_hyperbaric_medicine,hyperbaric_medicine,health_care > outpatient_care_facility > specialized_health_care > preventive_medicine > hyperbaric_medicine,Hyperbaric Medicine
unemployment_office,unemployment_office,community_and_government > government_office > unemployment_office,Unemployment Office
uniform_store,uniform_store,shopping > fashion_and_apparel_store > clothing_store > uniform_store,Uniform Store
university_housing,university_housing,services_and_business > housing_or_property_service > university_housing,University Housing
urban_farm,urban_farm,services_and_business > agricultural_service > farm > urban_farm,Urban Farm
urgent_care_clinic,urgent_care_clinic,health_care > emergency_or_urgent_care_facility > urgent_care_clinic,Urgent Care Clinic
urologist,urology,health_care > outpatient_care_facility > specialized_health_care > urology,Urology
uruguayan_restaurant,uruguayan_restaurant,food_and_drink > restaurant > latin_american_restaurant > south_american_restaurant > uruguayan_restaurant,Uruguayan Restaurant
